Fecha,Bosque,Especie planta,Numero flores,Individuos o escapos,
23/04/20,1,Helleborus viridis subsp. occidentalis,393,,"numero flores: cuento las disponibles, vamos abiertas"
23/04/20,1,Primula veris,8,,
23/04/20,1,Taraxacum sp.,747,,
23/04/20,1,Bellis perennis,2993,,
23/04/20,1,Pinguicula grandiflora subsp. grandiflora,17,,
23/04/20,1,Ranunculus sp.,13,,
23/04/20,1,Compuesta blanca,,85,
23/04/20,1,Viola sp. riviniana,296,,
23/04/20,1,Scilla verna,15,,
23/04/20,1,Veronica sp.,49,,
28/04/20,5,Scilla verna,1496,,
28/04/20,5,Pinguicula grandiflora subsp. grandiflora,2,,
28/04/20,5,Pedicularis sylvatica subsp. sylvatica,169,,
28/04/20,5,Polygala vulgaris,74,,
28/04/20,5,Erytronium dens-canis,1,,
28/04/20,5,Potentilla erecta,96,,
28/04/20,5,Taraxacum sp.,3,,
28/04/20,5,Bellis perennis,3,,
28/04/20,5,Ranunculus sp.,2,,
28/04/20,5,Vaccinium,28,,
29/04/20,2,Taraxacum sp.,723,,
29/04/20,2,Bellis perennis,3168,,
29/04/20,2,Viola sp.,61,,
29/04/20,2,Cardamine pratensis,1,,
29/04/20,2,Polygala vulgaris,4,,
29/04/20,2,Ranunculus sp.,1,,
29/04/20,2,Veronica sp.,8,,
29/04/20,2,Hepatica nobilis,4,,
29/04/20,1,Ranunculus sp.,16,,
29/04/20,1,Viola sp.,101,,
29/04/20,1,Veronica persica,70,,
29/04/20,1,Taraxacum sp.,833,,
29/04/20,1,Pinguicula grandiflora subsp. grandiflora,22,,
29/04/20,1,Bellis perennis,5459,,
29/04/20,1,Scilla verna,66,,
29/04/20,1,Helleborus viridis subsp. occidentalis,4,,
29/04/20,1,Blanca compuesta???,,65,
03/05/20,3,Polygala vulgaris,208,,
03/05/20,3,Ranunculus sp.,183,,
03/05/20,3,Scilla verna,11,,
03/05/20,3,Bellis perennis,643,,
03/05/20,3,Potentilla erecta,86,,
03/05/20,3,Potentilla montana,250,,
03/05/20,3,Vicia pyrenaica,32,,
03/05/20,3,Taraxacum sp.,7,,
03/05/20,3,Viola sp.,5,,
03/05/20,3,Lotus cornicularis,11,,
03/05/20,3,Veronica sp.,2,,
03/05/20,3,Pedicularis sylvatica subsp. sylvatica,41,,
04/05/20,5,Scilla verna,1138,,
04/05/20,5,Polygala vulgaris,201,,
04/05/20,5,Taraxacum sp.,3,,
04/05/20,5,Potentilla erecta,196,,
04/05/20,5,Ranunculus sp.,5,,
04/05/20,5,Pinguicula grandiflora subsp. grandiflora,4,,
04/05/20,5,Pedicularis sylvatica subsp. sylvatica,153,,
04/05/20,5,Bellis perennis,6,,
04/05/20,5,Vicia pyrenaica,1,,
04/05/20,5,Vaccinium,5,,
05/05/20,4,Potentilla erecta,402,,
05/05/20,4,Polygala vulgaris,4128,,
05/05/20,4,Pinguicula grandiflora subsp. grandiflora,4,,
05/05/20,4,Lathyrus linifolius,6,,
05/05/20,4,Viola sp.,9,,
05/05/20,4,Taraxacum sp.,38,,
05/05/20,4,Ranunculus sp.,36,,
05/05/20,4,Scilla verna,79,,
05/05/20,4,Bellis perennis,141,,
05/05/20,4,Vaccinium,4,,
06/05/20,1,Pinguicula grandiflora subsp. grandiflora,58,,
06/05/20,1,Taraxacum sp.,405,,
06/05/20,1,Bellis perennis,5551,,
06/05/20,1,Scilla verna,326,,
06/05/20,1,Ranunculus sp.,83,,
06/05/20,1,Viola sp.,41,,
06/05/20,1,Veronica sp.,183,,
06/05/20,1,Potentilla montana,2,,
06/05/20,1,Globularia sp.,3,,
06/05/20,1,Blanca compuesta???,,63,
06/05/20,1,Vicia pyrenaica,82,,
06/05/20,1,Polygala vulgaris,81,,
06/05/20,1,Geranium robertianum,11,,
06/05/20,1,Erysimum sp.,13,,
07/05/20,2,Taraxacum sp.,334,,
07/05/20,2,Bellis perennis,4098,,
07/05/20,2,Cardamine pratensis,20,,
07/05/20,2,Ranunculus sp.,74,,
07/05/20,2,Viola sp.,7,,
07/05/20,2,Geranium robertianum,2,,
07/05/20,2,Veronica sp.,68,,
07/05/20,2,Potentilla erecta,67,,
07/05/20,2,Pedicularis sylvatica subsp. sylvatica,2,,
07/05/20,2,Compuesta blanca,12,,
07/05/20,2,Myosotis sp.,44,,
07/05/20,2,Lysimachia nemorum,36,,
07/05/20,2,Polygala vulgaris,10,,
17/05/20,1,Scilla verna,10,,
17/05/20,1,Bellis perennis,4196,,
17/05/20,1,Ranunculus sp.,369,,
17/05/20,1,Vicia pyrenaica,160,,
17/05/20,1,Erysimum sp.,33,,
17/05/20,1,Euphrasia sp.,3,,
17/05/20,1,Polygala vulgaris,25,,
17/05/20,1,Potentilla montana,16,,
17/05/20,1,Erinus alpinus,782,,
17/05/20,1,Taraxacum sp.,166,,
17/05/20,1,Linnaria propinqua,23,,
17/05/20,1,Geranium robertianum,126,,
17/05/20,1,Veronica sp.,101,,
17/05/20,1,Pinguicula grandiflora subsp. grandiflora,20,,
17/05/20,1,Blanca compuesta???,7,,
18/05/20,2,Bellis perennis,4103,,
18/05/20,2,Taraxacum sp.,15,,
18/05/20,2,Ranunculus sp.,296,,
18/05/20,2,Geranium robertianum,13,,
18/05/20,2,Pedicularis sylvatica subsp. sylvatica,6,,
18/05/20,2,Myosotis sp.,180,,
18/05/20,2,Potentilla erecta,145,,
18/05/20,2,Veronica sp.,106,,
18/05/20,2,Pilosella sp.,9,,
18/05/20,2,Lysimachia nemorum,33,,
18/05/20,2,Saxifraga sp.,33,9,
18/05/20,2,Erinus alpinus,15,,
18/05/20,2,Cerastium sp.,3,,
18/05/20,2,Fragaria vesca,3,,
18/05/20,2,Polygala vulgaris,16,,
18/05/20,2,Viola sp.,2,,
19/05/20,3,Trifolium pratense,20,,
19/05/20,3,Ranunculus sp.,673,,
19/05/20,3,Lathyrus linifolius,27,,
19/05/20,3,Pedicularis sylvatica subsp. sylvatica,45,,
19/05/20,3,Potentilla montana,39,,
19/05/20,3,Potentilla erecta,221,,
19/05/20,3,Polygala vulgaris,35,,
19/05/20,3,Bellis perennis,1082,,
19/05/20,3,Trifolium repens,70,,
19/05/20,3,Prunella grandiflora,3,,
19/05/20,3,Daboecia cantabrica,3,,
19/05/20,3,Thymus sp.,6,,
19/05/20,3,Lotus cornicularis,155,,
19/05/20,3,Veronica sp.,5,,
19/05/20,3,Medicago lupulina,46,,
19/05/20,3,Helianthemum nummularium,41,,
19/05/20,3,Taraxacum sp.,2,,
19/05/20,3,Pilosella hypeurya,5,,
20/05/20,4,Taraxacum sp.,7,,
20/05/20,4,Erica cinerea,3,,
20/05/20,4,Potentilla erecta,1188,,
20/05/20,4,Ranunculus sp.,136,,
20/05/20,4,Veronica officinalis,,346,
20/05/20,4,Pinguicula grandiflora subsp. grandiflora,1,,
20/05/20,4,Lathyrus linifolius,2,,
20/05/20,4,Polygala vulgaris,524,,
20/05/20,4,Galium sp.,,285,
20/05/20,4,Bellis perennis,,115,
21/05/20,5,Scilla verna,3,,
21/05/20,5,Scorzonera humilis,63,,
21/05/20,5,Daboecia cantabrica,32,,
21/05/20,5,Pedicularis sylvatica subsp. sylvatica,15,,
21/05/20,5,Pinguicula grandiflora subsp. grandiflora,2,,
21/05/20,5,Ranunculus sp.,35,,
21/05/20,5,Polygala vulgaris,201,,
21/05/20,5,Potentilla erecta,947,,
21/05/20,5,Bellis perennis,8,,
22/05/20,1,Vicia pyrenaica,181,,
22/05/20,1,Taraxacum sp.,48,,
22/05/20,1,Medicago lupulina,1100,,
22/05/20,1,Linnaria propinqua,29,,
22/05/20,1,Ranunculus sp.,927,,
22/05/20,1,Veronica officinalis,3,,
22/05/20,1,Erysimum sp.,9,,
22/05/20,1,Geranium robertianum,20,,
22/05/20,1,Pinguicula grandiflora subsp. grandiflora,7,,
22/05/20,1,Thymus sp.,15,,
22/05/20,1,Blanca compuesta???,18,,
22/05/20,1,Scilla verna,3,,
22/05/20,1,Potentilla montana,9,,
22/05/20,1,Veronica sp.,101,,
22/05/20,1,Lysimachia nemorum,135,,
22/05/20,1,Euphrasia sp.,10,,
22/05/20,1,Bellis perennis,4489,,
25/05/20,2,Bellis perennis,4364,,
25/05/20,2,Ranunculus sp.,666,,
25/05/20,2,Myosotis sp.,355,,
25/05/20,2,Veronica sp.,22,,
25/05/20,2,Veronica officinalis,24,,
25/05/20,2,Geranium robertianum,5,,
25/05/20,2,Pilosella hypeurya,27,,
25/05/20,2,Taraxacum sp.,7,,
25/05/20,2,Potentilla erecta,220,,
25/05/20,2,Lotus cornicularis,2,,
25/05/20,2,Lysimachia nemorum,60,,
25/05/20,2,Polygala vulgaris,10,,
25/05/20,2,Saxifraga  hirsuta,,15,
25/05/20,2,Erinus alpinus,140,,
25/05/20,2,Blanca compuesta???,,4,
25/05/20,2,Potentilla montana,4,,
25/05/20,2,Fragaria vesca,2,,
26/05/20,4,Potentilla erecta,1344,,
26/05/20,4,Taraxacum sp.,65,,
26/05/20,4,Veronica officinalis,531,,
26/05/20,4,Polygala vulgaris,621,,
26/05/20,4,Bellis perennis,91,,
26/05/20,4,Ranunculus sp.,176,,
26/05/20,4,Sedum sp.,14,,
26/05/20,4,Galium sp.,,1391,
26/05/20,4,Pinguicula grandiflora subsp. grandiflora,1,,
26/05/20,4,Scilla verna,3,,
27/05/20,5,Potentilla erecta,1182,,
27/05/20,5,Scorzonera humilis,35,,
27/05/20,5,Polygala vulgaris,144,,
27/05/20,5,Galium sp.,23,,
27/05/20,5,Pedicularis sylvatica subsp. sylvatica,12,,
27/05/20,5,Ranunculus sp.,14,,
27/05/20,5,Daboecia cantabrica,11,4,
27/05/20,5,Erica tetralix,24,4,
27/05/20,5,Erica cinerea,48,8,
27/05/20,5,Bellis perennis,3,,
28/05/20,3,Ranunculus sp.,531,,
28/05/20,3,Lathyrus linifolius,10,,
28/05/20,3,Prunella grandiflora,85,24,
28/05/20,3,Polygala vulgaris,8,,
28/05/20,3,Pedicularis sylvatica subsp. sylvatica,7,,
28/05/20,3,Lotus cornicularis,1419,473,
28/05/20,3,Trifolium repens,135,,
28/05/20,3,Potentilla montana,4,,
28/05/20,3,Helianthemum nummularium,29,,
28/05/20,3,Trifolium pratense,11,,
28/05/20,3,Potentilla erecta,198,,
28/05/20,3,Medicago lupulina,120,,
28/05/20,3,Daboecia cantabrica,1,,
28/05/20,3,Teucrium pyrenaicum L. subsp. pyrenaicum,7,,
28/05/20,3,Euphrasia sp.,,7,
28/05/20,3,Bellis perennis,824,,
28/05/20,3,Pilosella sp.,4,,
28/05/20,3,Veronica officinalis,3,,
28/05/20,3,Thymus sp.,,140,
29/05/20,1,Ranunculus sp.,1766,,
29/05/20,1,Bellis perennis,7132,,
29/05/20,1,Veronica sp.,10,,
29/05/20,1,Erysimum sp.,51,,
29/05/20,1,Geranium robertianum,96,,
29/05/20,1,Linnaria propinqua,70,,
29/05/20,1,Vicia pyrenaica,67,,
29/05/20,1,Taraxacum sp.,7,,
29/05/20,1,Lotus cornicularis,122,,
29/05/20,1,Thymus sp.,,48,
29/05/20,1,Pilosella sp.,7,,
29/05/20,1,Erinus alpinus,69,,
29/05/20,1,Euphrasia sp.,10,,
29/05/20,1,Potentilla montana,3,,
29/05/20,1,Medicago lupulina,2275,,
29/05/20,1,Trifolium pratense,4,,
29/05/20,1,Anagallis arvensis,15,,
29/05/20,1,Lysimachia nemorum,28,,
29/05/20,1,Saxifraga sp.,10,,
29/05/20,1,Rhinanthus sp.,3,2,
29/05/20,1,Veronica officinalis,10,,
29/05/20,1,Blanca compuesta???,,11,
29/05/20,1,Polygala vulgaris,30,,
29/05/20,1,Trifolium repens,2,,
14/06/20,2,Myosotis sp.,89,,
14/06/20,2,Ranunculus sp.,966,,
14/06/20,2,Bellis perennis,2533,,
14/06/20,2,Trifolium repens,23,,
14/06/20,2,Potentilla erecta,101,,
14/06/20,2,Taraxacum sp.,16,,
14/06/20,2,Lysimachia nemorum,6,,
14/06/20,2,Lotus cornicularis,50,,
14/06/20,2,Geranium robertianum,6,,
14/06/20,2,Veronica officinalis,13,,
14/06/20,2,Plantago sp.,121,,
14/06/20,2,Prunella grandiflora,6,1,
14/06/20,2,Euphrasia sp.,19,2,
14/06/20,2,Galium sp.,,8,
15/06/20,4,Galium sp.,2154,,
15/06/20,4,Potentilla erecta,339,,
15/06/20,4,Veronica officinalis,6,,
15/06/20,4,Ranunculus sp.,34,,
15/06/20,4,Sedum sp.,330,,
15/06/20,4,Taraxacum sp.,49,,
15/06/20,4,Prunella grandiflora,1,,
15/06/20,4,Polygala vulgaris,13,,
15/06/20,4,Jasione sp.,2,,
15/06/20,4,Trifolium repens,6,,
15/06/20,4,Erica cinerea,294,49,
15/06/20,4,Erica tetralix,90,,
15/06/20,4,Lotus cornicularis,6,2,
15/06/20,4,Bellis perennis,46,,
20/06/20,5,Potentilla erecta,464,,
20/06/20,5,Erica cinerea,219,73,
20/06/20,5,Erica tetralix,264,44,
20/06/20,5,Pedicularis sylvatica subsp. sylvatica,2,,
20/06/20,5,Daboecia cantabrica,13,,
20/06/20,5,Ranunculus sp.,8,,
20/06/20,5,Polygala vulgaris,7,,
20/06/20,5,Galium sp.,,24,
21/06/20,3,Prunella grandiflora,996,,
21/06/20,3,Trifolium pratense,116,,
21/06/20,3,Ranunculus sp.,83,,
21/06/20,3,Dianthus hyssopifolius subsp. hyssopifolius,2,,
21/06/20,3,Daboecia cantabrica,25,,
21/06/20,3,Teucrium pyrenaicum L. subsp. pyrenaicum,,37,
21/06/20,3,Trifolium repens,527,,
21/06/20,3,Galium sp.,40,,
21/06/20,3,Lathyrus linifolius,3,,
21/06/20,3,Rhinanthus sp.,4,,
21/06/20,3,Pedicularis sylvatica subsp. sylvatica,2,,
21/06/20,3,Medicago lupulina,166,,
21/06/20,3,Plantago sp.,565,,
21/06/20,3,Lotus cornicularis,1527,,
21/06/20,3,Potentilla erecta,392,,
21/06/20,3,Thymus sp.,40,,
21/06/20,3,Bellis perennis,103,,
21/06/20,3,Taraxacum sp.,12,,
21/06/20,3,Euphrasia sp.,19,,
21/06/20,3,Erica vagans,1,,
22/06/20,1,Bellis perennis,3830,,
22/06/20,1,Plantago sp.,469,,
22/06/20,1,Ranunculus sp.,744,,
22/06/20,1,Medicago lupulina,2150,,
22/06/20,1,Lotus cornicularis,616,,
22/06/20,1,Euphrasia sp.,727,,
22/06/20,1,Thymus sp.,,739,
22/06/20,1,Vicia pyrenaica,5,,
22/06/20,1,Geranium robertianum,48,,
22/06/20,1,Trifolium repens,34,,
22/06/20,1,Trifolium pratense,36,,
22/06/20,1,Galium sp.,1290,,
22/06/20,1,Taraxacum sp.,27,,
22/06/20,1,Prunella grandiflora,38,,
22/06/20,1,Saxifraga sp.,17,,
22/06/20,1,Linnaria propinqua,66,,
22/06/20,1,Veronica persica,5,,
22/06/20,1,Anthyllis vulneraria subsp. Alpestris,7,,
22/06/20,1,Campanula glomerata,4,,
22/06/20,1,Erysimum sp.,6,,
22/06/20,1,Ophyrs apifera,2,,
22/06/20,1,Prunella vulgaris,38,,
22/06/20,1,Anagallis arvensis,17,,
22/06/20,1,Teucrium pyrenaicum L. subsp. pyrenaicum,16,,
22/06/20,1,Veronica officinalis,,1,
22/06/20,1,Dianthus hyssopifolius subsp. hyssopifolius,4,,
23/06/20,2,Ranunculus sp.,811,,
23/06/20,2,Taraxacum sp.,36,,
23/06/20,2,Trifolium pratense,6,,
23/06/20,2,Trifolium repens,31,,
23/06/20,2,Thymus sp.,82,,
23/06/20,2,Lotus cornicularis,153,,
23/06/20,2,Potentilla erecta,110,,
23/06/20,2,Bellis perennis,1919,,
23/06/20,2,Plantago sp.,458,,
23/06/20,2,Polygala vulgaris,5,,
23/06/20,2,Galium sp.,227,,
23/06/20,2,Prunella vulgaris,,62,
23/06/20,2,Geranium robertianum,4,,
23/06/20,2,Myosotis sp.,36,,
23/06/20,2,Veronica officinalis,2,,
23/06/20,2,Lysimachia nemorum,5,,
24/06/20,4,Erica tetralix,408,68,
24/06/20,4,Erica vagans,36,6,
24/06/20,4,Erica cinerea,828,6,
24/06/20,4,Taraxacum sp.,107,,
24/06/20,4,Polygala vulgaris,10,,
24/06/20,4,Potentilla erecta,437,,
24/06/20,4,Ranunculus sp.,18,,
24/06/20,4,Bellis perennis,26,,
24/06/20,4,Sedum sp.,223,,
24/06/20,4,Prunella vulgaris,18,,
24/06/20,4,Galium sp.,2500,,
24/06/20,4,Lotus cornicularis,5,,
24/06/20,4,Campanula sp.,2,,
24/06/20,4,Jasione sp.,3,,
24/06/20,4,Trifolium repens,3,,
25/06/20,5,Potentilla erecta,471,,
25/06/20,5,Erica cinerea,936,156,
25/06/20,5,Erica tetralix,276,46,
25/06/20,5,Polygala vulgaris,6,,
25/06/20,5,Ranunculus sp.,8,,
25/06/20,5,Taraxacum sp.,1,,
25/06/20,5,Narthecium ossifragum,43,8,
25/06/20,5,Daboecia cantabrica,15,,
25/06/20,5,Ulex gallii,12,,
25/06/20,5,Prunella vulgaris,,2,
25/06/20,5,Trifolium repens,3,,
25/06/20,5,Galium sp.,70,,
25/06/20,5,Erica vagans,,2,
27/06/20,3,Prunella grandiflora,959,,
27/06/20,3,Trifolium pratense,260,,
27/06/20,3,Trifolium repens,378,,
27/06/20,3,Ranunculus sp.,60,,
27/06/20,3,Teucrium pyrenaicum L. subsp. pyrenaicum,,50,
27/06/20,3,Thymus sp.,,100,
27/06/20,3,Potentilla erecta,404,,
27/06/20,3,Lotus cornicularis,1700,,
27/06/20,3,Medicago lupulina,200,,
27/06/20,3,Plantago sp.,1325,,
27/06/20,3,Euphrasia sp.,12,10,
27/06/20,3,Bellis perennis,84,,
27/06/20,3,Pedicularis sylvatica subsp. sylvatica,2,,
27/06/20,3,Dianthus hyssopifolius subsp. hyssopifolius,12,,
27/06/20,3,Helianthemum sp.,6,,
27/06/20,3,Erica vagans,,15,
27/06/20,3,Galium sp.,,47,
28/06/20,2,Ranunculus sp.,380,,
28/06/20,2,Geranium robertianum,5,,
28/06/20,2,Taraxacum sp.,7,,
28/06/20,2,Plantago sp.,593,,
28/06/20,2,Potentilla erecta,264,,
28/06/20,2,Trifolium pratense,7,,
28/06/20,2,Trifolium repens,127,,
28/06/20,2,Prunella vulgaris,,478,
28/06/20,2,Bellis perennis,1407,,
28/06/20,2,Dianthus hyssopifolius subsp. hyssopifolius,1,,
28/06/20,2,Lotus cornicularis,54,,
28/06/20,2,Thymus sp.,45,,
28/06/20,2,Myosotis sp.,11,,
28/06/20,2,Galium sp.,9,,
30/06/20,1,Campanula sp.,6,,
30/06/20,1,Ranunculus sp.,369,,
30/06/20,1,Euphrasia sp.,775,,
30/06/20,1,Taraxacum sp.,4,,
30/06/20,1,Bellis perennis,2072,,
30/06/20,1,Anagallis arvensis,4,,
30/06/20,1,Dianthus hyssopifolius subsp. hyssopifolius,18,,
30/06/20,1,Campanula glomerata,8,,
30/06/20,1,Prunella grandiflora,15,,
30/06/20,1,Geranium robertianum,30,,
30/06/20,1,Linnaria propinqua,51,,
30/06/20,1,Medicago lupulina,504,,
30/06/20,1,Trifolium repens,35,,
30/06/20,1,Trifolium pratense,63,,
30/06/20,1,Rhinanthus angustifolius,4,,
30/06/20,1,Eryngium bourgatii,,7,
30/06/20,1,Plantago sp.,153,,
30/06/20,1,Erysimum sp.,40,,
30/06/20,1,Vicia pyrenaica,3,,
30/06/20,1,Thymus sp.,386,,
30/06/20,1,Prunella vulgaris,67,,
30/06/20,1,Clinopodium vulgare,26,,
30/06/20,1,Lotus cornicularis,218,,
04/07/20,3,Prunella grandiflora,871,,
04/07/20,3,Trifolium repens,226,,
04/07/20,3,Trifolium pratense,1008,,
04/07/20,3,Ranunculus sp.,27,,
04/07/20,3,Teucrium pyrenaicum L. subsp. pyrenaicum,,29,
04/07/20,3,Thymus sp.,,474,
04/07/20,3,Potentilla erecta,470,,
04/07/20,3,Lotus cornicularis,495,,
04/07/20,3,Medicago lupulina,39,,
04/07/20,3,Plantago sp.,2308,,
04/07/20,3,Euphrasia sp.,,17,
04/07/20,3,Bellis perennis,87,,
04/07/20,3,Dianthus hyssopifolius subsp. hyssopifolius,17,,
04/07/20,3,Helianthemum nummularium,18,,
04/07/20,3,Erica vagans,,72,
04/07/20,3,Daboecia cantabrica,94,,
04/07/20,3,Galium sp.,17,,
04/07/20,3,Clinopodium vulgare,,4,
04/07/20,3,Campanula glomerata,1,,
04/07/20,3,Vicia pyrenaica,1,,
04/07/20,3,Taraxacum sp.,49,,
04/07/20,3,Achillea millefolium,,11,
05/07/20,5,Narthecium ossifragum,,10,
05/07/20,5,Potentilla erecta,212,,
05/07/20,5,Erica cinerea,3732,622,
05/07/20,5,Erica vagans,,36,
05/07/20,5,Erica tetralix,774,129,
05/07/20,5,Daboecia cantabrica,57,,
05/07/20,5,Pedicularis sylvatica subsp. sylvatica,1,,
05/07/20,5,Prunella vulgaris,8,2,
05/07/20,5,Ranunculus sp.,2,,
05/07/20,5,Ulex gallii,1610,,
05/07/20,5,Galium sp.,17,,
05/07/20,5,Polygala vulgaris,2,,
07/07/20,4,Erica cinerea,3432,572,
07/07/20,4,Erica tetralix,660,110,
07/07/20,4,Erica vagans,135,,
07/07/20,4,Galium sp.,210,,
07/07/20,4,Sedum sp.,58,,
07/07/20,4,Daboecia cantabrica,3,,
07/07/20,4,Polygala vulgaris,12,,
07/07/20,4,Potentilla erecta,194,,
07/07/20,4,Taraxacum sp.,44,,
07/07/20,4,Ulex gallii,13,,
07/07/20,4,Ranunculus sp.,8,,
07/07/20,4,Prunella grandiflora,44,,
07/07/20,4,Bellis perennis,10,,
07/07/20,4,Trifolium repens,8,,
07/07/20,4,Campanula sp.,6,,
07/07/20,4,Jasione sp.,7,,