"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta"
"1","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",0.75,"3,06"
"2","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"3,09"
"3","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"4,04"
"4","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"4,09"
"5","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"6,04"
"6","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"6,07"
"7","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"6,10"
"8","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"7,02"
"9","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"9,03"
"10","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"3,06"
"11","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"3,08"
"12","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"3,09"
"13","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"4,09"
"14","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"6,01"
"15","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"6,03"
"16","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"6,04"
"17","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"6,07"
"18","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"8,03"
"19","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"8,10"
"20","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"2,07"
"21","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"3,08"
"22","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"4,10"
"23","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"6,01"
"24","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.4,"6,04"
"25","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.6,"6,07"
"26","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"6,10"
"27","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"8,03"
"28","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.6,"8,10"
"29","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"9,03"
"30","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"(1,01)1"
"31","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"(1,01)2"
"32","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"1,02"
"33","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.4,"1,09"
"34","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"2,06"
"35","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.5,"4,07"
"36","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"5,07"
"37","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"6,02"
"38","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"6,07"
"39","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"7,03"
"40","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"7,06"
"41","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0,"7,07"
"42","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.5,"8,06"
"43","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"8,07"
"44","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.666666666666667,"8,08"
"45","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"9,02"
"46","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"9,06"
"47","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0.2,"1,07"
"48","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"1,10"
"49","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"2,07"
"50","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,06"
"51","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,07"
"52","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,08"
"53","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,09"
"54","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"4,09"
"55","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"6,03"
"56","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"6,04"
"57","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"6,07"
"58","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"6,10"
"59","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"8,03"
"60","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"8,10"
"61","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0.5,"9,03"
"62","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"10,10"
"63","Doñana",2021,"Pinar Aznalcazar",5,"Halimiun halimifolium",0.666666666666667,"(10,08)1"
"64","Doñana",2021,"Pinar Aznalcazar",5,"Halimiun halimifolium",0.166666666666667,"(10,08)2"
"65","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.5,"(1,01)1"
"66","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"(1,01)2"
"67","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"1,02"
"68","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"1,08"
"69","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"2,01"
"70","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"2,06"
"71","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"4,07"
"72","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.4,"6,02"
"73","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"7,03"
"74","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"9,07"
"75","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.75,"9,08"
"76","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0,"9,06"
"77","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.7,"(10,08)1"
"78","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.466666666666667,"(10,08)2"
"79","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.5,"10,09"
"80","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"(1,01)2"
"81","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.8,"1,02"
"82","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"1,03"
"83","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"2,01"
"84","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"2,03"
"85","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"2,06"
"86","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.6,"4,07"
"87","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.6,"7,03"
"88","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.4,"9,02"
"89","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.8,"9,07"
"90","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",1,"8,10"
"91","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",0.6,"9,06"
"92","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",0.6,"(10,08)1"
"93","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",0.6,"(10,08)2"
"94","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",0.6,"10,09"
"95","Doñana",2021,"Pinar Aznalcazar",8,"Cistus crispus",1,"9,07"
"96","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.4,"8,10"
"97","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.3,"9,06"
"98","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.2,"(10,08)1"
"99","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.2,"(10,08)2"
"100","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.3,"10,09"
"101","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",1,"(1,01)2"
"102","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",0.6,"4,05"
"103","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",1,"5,04"
"104","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",0.8,"8,01"
"105","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",0.8,"8,04"
"106","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.8,"2,01"
"107","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.333333333333333,"3,06"
"108","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.4,"4,05"
"109","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",1,"5,04"
"110","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.6,"8,01"
"111","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.8,"8,04"
"112","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.6,"(1,01)1"
"113","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.333333333333333,"(1,01)2"
"114","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",1,"(1,01)3"
"115","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.4,"2,01"
"116","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.3,"4,05"
"117","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",1,"5,04"
"118","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.777777777777778,"8,01"
"119","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.666666666666667,"8,04"
"120","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0,"(1,01)1"
"121","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0,"(1,01)2"
"122","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.666666666666667,"(1,01)3"
"123","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0,"2,01"
"124","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",1,"3,06"
"125","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.444444444444444,"4,05"
"126","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.333333333333333,"5,04"
"127","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.444444444444444,"8,01"
"128","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.555555555555556,"8,04"
"129","Doñana",2021,"Pinar Hinojos",5,"Cistus libanotis",1,"4,08"
"130","Doñana",2021,"Pinar Hinojos",5,"Cistus libanotis",1,"10,07"
"131","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",1,"(1,01)2"
"132","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0,"(1,01)3"
"133","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0.333333333333333,"2,01"
"134","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0.4,"4,05"
"135","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",1,"5,04"
"136","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0.875,"8,01"
"137","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0.857142857142857,"8,04"
"138","Doñana",2021,"Pinar Hinojos",6,"Cistus libanotis",0.454545454545455,"4,08"
"139","Doñana",2021,"Pinar Hinojos",6,"Cistus libanotis",0.465116279069767,"10,07"
"140","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",1,"(1,01)2"
"141","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"(1,01)3"
"142","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"2,01"
"143","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"3,06"
"144","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0.5,"4,05"
"145","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"5,04"
"146","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"8,04"
"147","Doñana",2021,"Pinar Hinojos",7,"Cistus libanotis",1,"4,08"
"148","Doñana",2021,"Pinar Hinojos",7,"Cistus libanotis",0,"10,07"
"149","Doñana",2021,"Pinar Hinojos",8,NA,NA,"NA,NA"
"150","Doñana",2021,"Pinar Hinojos",9,NA,NA,"NA,NA"
"151","Doñana",2021,"Pinar Puebla",1,"Cistus salviifolius",0.8,"3,06"
"152","Doñana",2021,"Pinar Puebla",1,"Cistus salviifolius",1,"6,02"
"153","Doñana",2021,"Pinar Puebla",1,"Cistus salviifolius",0.8,"7,07"
"154","Doñana",2021,"Pinar Puebla",1,"Cistus salviifolius",1,"9,04"
"155","Doñana",2021,"Pinar Puebla",1,"Cistus salviifolius",1,"(9,10)1"
"156","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",0.8,"2,04"
"157","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",0.8,"3,06"
"158","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",1,"3,10"
"159","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",1,"(6,01)1"
"160","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",1,"(6,01)2"
"161","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",0.6,"6,02"
"162","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",1,"7,07"
"163","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",0.8,"9,02"
"164","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",1,"9,04"
"165","Doñana",2021,"Pinar Puebla",2,"Cistus salviifolius",1,"(9,10)2"
"166","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",0.6,"2,10"
"167","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",0.8,"3,06"
"168","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",0.6,"3,10"
"169","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",1,"(6,01)1"
"170","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",0.8,"(6,01)2"
"171","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",0.8,"6,02"
"172","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",1,"7,01"
"173","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",1,"7,07"
"174","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",1,"9,04"
"175","Doñana",2021,"Pinar Puebla",3,"Cistus salviifolius",0.8,"(9,10)2"
"176","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",0.285714285714286,"1,02"
"177","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",0,"1,07"
"178","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",1,"2,10"
"179","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",0,"3,06"
"180","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",0,"4,02"
"181","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",0.5,"4,06"
"182","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",1,"5,01"
"183","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",1,"5,07"
"184","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",1,"(6,01)1"
"185","Doñana",2021,"Pinar Puebla",4,"Cistus salviifolius",0,"9,02"
"186","Doñana",2021,"Pinar Puebla",5,"Cistus salviifolius",0.5,"2,10"
"187","Doñana",2021,"Pinar Puebla",5,"Cistus salviifolius",0,"3,04"
"188","Doñana",2021,"Pinar Puebla",5,"Cistus salviifolius",1,"(6,01)2"
"189","Doñana",2021,"Pinar Puebla",5,"Cistus salviifolius",0,"9,04"
"190","Doñana",2021,"Pinar Puebla",6,"Cistus crispus",1,"8,06"
"191","Doñana",2021,"Pinar Puebla",6,"Cistus crispus",1,"8,07"
"192","Doñana",2021,"Pinar Puebla",6,"Cistus crispus",0.75,"9,06"
"193","Doñana",2021,"Pinar Puebla",6,"Cistus crispus",1,"9,07"
"194","Doñana",2021,"Pinar Puebla",6,"Cistus crispus",1,"10,07"
"195","Doñana",2021,"Pinar Puebla",7,"Cistus crispus",0.333333333333333,"8,06"
"196","Doñana",2021,"Pinar Puebla",7,"Cistus crispus",0,"8,07"
"197","Doñana",2021,"Pinar Puebla",7,"Cistus crispus",0,"9,06"
"198","Doñana",2021,"Pinar Puebla",7,"Cistus crispus",0,"9,07"
"199","Doñana",2021,"Pinar Puebla",7,"Cistus crispus",1,"10,06"
"200","Doñana",2021,"Pinar Puebla",8,"Cistus crispus",0,"8,07"
"201","Doñana",2021,"Pinar Puebla",8,"Cistus crispus",0.5,"9,06"
"202","Doñana",2021,"Pinar Puebla",8,"Cistus crispus",0.5,"9,07"
"203","Doñana",2021,"Pinar Puebla",8,"Cistus crispus",1,"10,06"
"204","Doñana",2021,"Villamanrique Chaparral",2,"Cistus ladanifer",0,"3,09"
"205","Doñana",2021,"Villamanrique Chaparral",2,"Cistus ladanifer",0.2,"(5,10)1"
"206","Doñana",2021,"Villamanrique Chaparral",2,"Cistus ladanifer",0.4,"(5,10)2"
"207","Doñana",2021,"Villamanrique Chaparral",2,"Cistus ladanifer",0,"10,02"
"208","Doñana",2021,"Villamanrique Chaparral",2,"Cistus ladanifer",0,"10,06"
"209","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0.6,"3,09"
"210","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",1,"4,05"
"211","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0.5,"4,10"
"212","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0.2,"7,09"
"213","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0.75,"8,03"
"214","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0.4,"10,02"
"215","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0.2,"10,06"
"216","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0.6,"10,08"
"217","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0,"10,09"
"218","Doñana",2021,"Villamanrique Chaparral",3,"Cistus ladanifer",0,"(10,10)2"
"219","Doñana",2021,"Villamanrique Chaparral",3,"Cistus salviifolius",1,"(6,06)1"
"220","Doñana",2021,"Villamanrique Chaparral",3,"Cistus salviifolius",0.8,"6,08"
"221","Doñana",2021,"Villamanrique Chaparral",3,"Cistus salviifolius",0,"(7,08)2"
"222","Doñana",2021,"Villamanrique Chaparral",3,"Cistus salviifolius",0.8,"7,09"
"223","Doñana",2021,"Villamanrique Chaparral",3,"Cistus salviifolius",0.8,"9,06"
"224","Doñana",2021,"Villamanrique Chaparral",4,"Cistus ladanifer",0.5,"4,05"
"225","Doñana",2021,"Villamanrique Chaparral",4,"Cistus ladanifer",0.5,"5,01"
"226","Doñana",2021,"Villamanrique Chaparral",4,"Cistus ladanifer",1,"5,02"
"227","Doñana",2021,"Villamanrique Chaparral",4,"Cistus ladanifer",1,"6,05"
"228","Doñana",2021,"Villamanrique Chaparral",4,"Cistus ladanifer",0.75,"7,09"
"229","Doñana",2021,"Villamanrique Chaparral",4,"Cistus ladanifer",1,"7,10"
"230","Doñana",2021,"Villamanrique Chaparral",4,"Cistus ladanifer",0,"10,08"
"231","Doñana",2021,"Villamanrique Chaparral",4,"Cistus ladanifer",0.8,"10,09"
"232","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",1,"(1,08)1"
"233","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",1,"1,10"
"234","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"2,01"
"235","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",1,"(3,02)1"
"236","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.2,"3,08"
"237","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"4,02"
"238","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"(6,06)1"
"239","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"7,09"
"240","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.4,"(8,03)2"
"241","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"9,06"
"242","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",1,"(3,01)1"
"243","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",1,"4,05"
"244","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",0,"5,04"
"245","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",0,"6,01"
"246","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",0.666666666666667,"6,04"
"247","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",1,"6,05"
"248","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",0,"6,06"
"249","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(1,01)2"
"250","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(1,08)1"
"251","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(2,06)1"
"252","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",0.8,"3,07"
"253","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",0.8,"4,02"
"254","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"5,04"
"255","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(6,06)2"
"256","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(7,08)2"
